time,closed_price,scaled_volume_USDC,scaled_volume_WETH
2022-05-04 23:00:00,2925.1444686955074,1.808012946800016e-13,8.437253410148733e-17
2022-05-05 00:00:00,2940.206074910059,2.8557888177103845e-13,4.981643086200246e-17
2022-05-05 01:00:00,2941.906016723928,2.9438780453263453e-13,9.35977654051095e-17
2022-05-05 02:00:00,2941.126048074853,1.4439839300863933e-13,5.155416760984861e-17
2022-05-05 03:00:00,2947.044386078743,1.831835364203711e-13,4.384198457509411e-17
2022-05-05 04:00:00,2941.681622739636,1.2405655954324322e-13,5.893294511215518e-17
2022-05-05 05:00:00,2945.1306354602275,1.0536204700146153e-13,2.506525136597043e-17
2022-05-05 06:00:00,2931.319838892517,1.414705211188157e-13,8.979586909559581e-17
2022-05-05 07:00:00,2928.022781047101,1.2569486013457712e-13,5.244838555828863e-17
2022-05-05 08:00:00,2935.181007783024,1.364151445831832e-13,2.365636472232745e-17
2022-05-05 09:00:00,2923.8585011315363,2.713320344047604e-13,1.2839777309590795e-16
2022-05-05 10:00:00,2922.4346348253143,1.4135241863339955e-13,5.2904222268459406e-17
2022-05-05 11:00:00,2927.7746137060685,2.0123850347136618e-13,5.092533873638921e-17
2022-05-05 12:00:00,2923.796146263197,1.0657028985778243e-13,5.108137459135843e-17
2022-05-05 13:00:00,2927.8102324128968,3.9603076198804615e-13,1.2164394433006774e-16
2022-05-05 14:00:00,2895.8217090778753,2.283590803145005e-13,1.8196740613809838e-16
2022-05-05 15:00:00,2830.043056581537,9.514341903874942e-13,5.521621153779522e-16
2022-05-05 16:00:00,2737.201102296454,1.7823039589310249e-12,9.635901645120277e-16
2022-05-05 17:00:00,2759.267167527837,1.3402774622806176e-12,4.276632469522919e-16
2022-05-05 18:00:00,2743.8868724149725,6.451739576783624e-13,2.873249932229584e-16
2022-05-05 19:00:00,2728.624603323295,1.5796956389879143e-12,6.644963441463457e-16
2022-05-05 20:00:00,2729.8923269895354,1.825986415196258e-12,6.98956249117384e-16
2022-05-05 21:00:00,2753.642172399583,4.149641758434171e-12,1.3608746974575653e-15
2022-05-05 22:00:00,2736.4428986993507,5.636017898043958e-13,2.6529684633646253e-16
2022-05-05 23:00:00,2736.0451585659603,3.16862888364964e-13,1.3444038435613777e-16
2022-05-06 00:00:00,2748.481299784204,6.216290833526122e-13,1.8415634993999023e-16
2022-05-06 01:00:00,2737.007055417683,2.4953038082442165e-13,1.3189110211328878e-16
2022-05-06 02:00:00,2737.1992642549403,4.369474513965657e-13,1.604279979092271e-16
2022-05-06 03:00:00,2745.965258459082,3.718696907182259e-13,1.1081670515352348e-16
2022-05-06 04:00:00,2744.705269595629,2.018528785780383e-13,7.803007760238333e-17
2022-05-06 05:00:00,2744.093269439302,1.9792764378569766e-13,7.439508134764596e-17
2022-05-06 06:00:00,2749.125639524896,1.4019164425215396e-13,3.352355213303531e-17
2022-05-06 07:00:00,2743.345915884536,1.175069571722617e-13,6.535935502905091e-17
2022-05-06 08:00:00,2730.4418214578673,6.033624314106376e-13,2.717458051380082e-16
2022-05-06 09:00:00,2719.453806871884,6.298791818218072e-13,2.8132883256985643e-16
2022-05-06 10:00:00,2731.9600941045833,3.562694843280821e-13,9.397950120119205e-17
2022-05-06 11:00:00,2686.511471011785,5.894122896799329e-13,3.9851068436098536e-16
2022-05-06 12:00:00,2678.2752545959092,1.5785482758802621e-12,6.223968117065656e-16
2022-05-06 13:00:00,2683.692871092681,1.3141110251434378e-12,4.701718044174544e-16
2022-05-06 14:00:00,2665.596473003377,2.325130465604179e-12,9.446696136736993e-16
2022-05-06 15:00:00,2699.65990345622,6.811975041761061e-12,2.6049423368729444e-15
2022-05-06 16:00:00,2686.102238132304,1.1553529872732594e-12,4.94444648386042e-16
2022-05-06 17:00:00,2709.3472530648896,9.51675411213481e-13,2.7508406022792177e-16
2022-05-06 18:00:00,2683.073204244078,8.067072974145324e-13,3.9738331566690203e-16
2022-05-06 19:00:00,2683.3067903533247,8.688303858195103e-13,3.270285186250022e-16
2022-05-06 20:00:00,2686.143591817457,7.036167768572572e-13,2.615761451725063e-16
2022-05-06 21:00:00,2703.9726454453353,1.604852735200665e-12,5.876769499033247e-16
2022-05-06 22:00:00,2688.2810175570794,3.063761285542376e-13,1.7861538308344547e-16
2022-05-06 23:00:00,2696.359585928832,4.0215177695302384e-13,1.2192522552933357e-16
2022-05-07 00:00:00,2693.518725018493,1.9028268367127002e-13,8.703209046737233e-17
2022-05-07 01:00:00,2687.837918891496,3.3001198618648763e-13,1.428253156496346e-16
2022-05-07 02:00:00,2686.0757857644817,2.2054649617557336e-13,8.729791494374109e-17
2022-05-07 03:00:00,2681.895390654905,8.966097042292925e-14,4.8463052496656304e-17
2022-05-07 04:00:00,2667.4002773101183,4.4677104614364473e-13,2.2809217305365564e-16
2022-05-07 05:00:00,2657.086627126253,2.3391934769457615e-13,1.254044492084482e-16
2022-05-07 06:00:00,2675.33308502129,2.9857120689880424e-13,4.5753976121246064e-17
2022-05-07 07:00:00,2662.694911691132,9.331750107423256e-14,8.080802541558144e-17
2022-05-07 08:00:00,2671.7304459043994,2.640833370266041e-13,6.630721949522406e-17
2022-05-07 09:00:00,2685.7652967631698,3.7824794248560854e-13,9.192334061907333e-17
2022-05-07 10:00:00,2684.0083414654496,1.3964136155586716e-13,5.872052725566664e-17
2022-05-07 11:00:00,2689.092874020593,5.195683660447445e-13,1.6501677850728708e-16
2022-05-07 12:00:00,2687.1602218869843,9.350958015473852e-14,4.0795439612739615e-17
2022-05-07 13:00:00,2686.299495205189,1.341681944666145e-13,5.306924245582243e-17
2022-05-07 14:00:00,2674.070233740771,1.811525888000832e-13,1.1186093465497801e-16
2022-05-07 15:00:00,2686.629892810128,2.218557523416638e-13,3.8787195130534845e-17
2022-05-07 16:00:00,2691.6372716809,4.691289812153575e-13,1.5898083784520222e-16
2022-05-07 17:00:00,2688.7762181143107,1.7194799255154092e-13,7.337451348523539e-17
2022-05-07 18:00:00,2681.61980621657,3.08517036675401e-13,1.4246778042738128e-16
2022-05-07 19:00:00,2686.3572692423104,5.403659082676185e-13,1.7228094201114506e-16
2022-05-07 20:00:00,2681.6527387777633,5.5974862169795326e-14,3.798298440144462e-17
2022-05-07 21:00:00,2671.346996490023,2.3379299986355556e-13,1.3868370147889676e-16
2022-05-07 22:00:00,2621.4455847832023,6.781646473706614e-13,4.490050165135647e-16
2022-05-07 23:00:00,2600.445325984977,2.1397058486380706e-12,1.2071854451222342e-15
2022-05-08 00:00:00,2634.1691276480065,1.1421700633343773e-12,3.164733242825877e-16
2022-05-08 01:00:00,2617.6935264860026,3.5850088916583916e-13,1.975706559090522e-16
2022-05-08 02:00:00,2598.861668917042,8.807885305802108e-13,4.1829342631311263e-16
2022-05-08 03:00:00,2544.389260097745,3.681122302725033e-12,1.700647147564837e-15
2022-05-08 04:00:00,2544.3794187723465,2.3463591186077167e-12,9.322875268423652e-16
2022-05-08 05:00:00,2536.463936140905,1.3570202101763537e-12,5.649470597540801e-16
2022-05-08 06:00:00,2536.678610088947,1.3327466758006238e-12,5.386844677906741e-16
2022-05-08 07:00:00,2559.812806621796,5.40929592439405e-13,1.21796477678103e-16
2022-05-08 08:00:00,2556.008452846307,7.117914441452049e-13,2.910006584605323e-16
2022-05-08 09:00:00,2563.2212948959377,3.9289493003792037e-13,1.2593542777512255e-16
2022-05-08 10:00:00,2550.922562513059,5.486162629227328e-13,2.5861729163628526e-16
2022-05-08 11:00:00,2566.8989689805594,4.638168748608854e-13,1.1960472726405323e-16
2022-05-08 12:00:00,2568.207385445405,4.902459888976449e-13,1.8688513023835115e-16
2022-05-08 13:00:00,2555.0493268713103,4.981190207213194e-13,2.452129909988405e-16
2022-05-08 14:00:00,2521.3797373043553,5.9776704575006e-13,3.7142097322562335e-16
2022-05-08 15:00:00,2525.322936272475,1.6813291937121805e-12,6.716381013950695e-16
2022-05-08 16:00:00,2517.7652108617717,5.047286753459178e-13,2.310553036911467e-16
2022-05-08 17:00:00,2520.413326818305,7.338969532577645e-13,2.8005077428545536e-16
2022-05-08 18:00:00,2526.69518172196,2.129805932952215e-12,8.280366000171227e-16
2022-05-08 19:00:00,2558.41477332945,1.905039123460662e-12,6.208548992407757e-16
2022-05-08 20:00:00,2561.4447838041856,7.097351238673291e-13,2.5157081855174443e-16
2022-05-08 21:00:00,2540.1971634286056,3.681428188456278e-13,2.2931035317809937e-16
2022-05-08 22:00:00,2553.9411481203188,3.596017221777765e-13,8.631556949177869e-17
2022-05-08 23:00:00,2537.758402876625,1.306399824739943e-12,5.802247946565729e-16
2022-05-09 00:00:00,2519.9924176815853,6.324210487720695e-13,3.2480917812470896e-16
2022-05-09 01:00:00,2522.600322450421,6.812908092490711e-13,2.6204379511845567e-16
2022-05-09 02:00:00,2505.630311470993,6.219899839647824e-13,3.1487893290518987e-16
2022-05-09 03:00:00,2439.5132383317905,1.6935489339345266e-12,9.777327728421125e-16
2022-05-09 04:00:00,2457.9478597463744,1.1952439835597758e-12,4.2627238725743546e-16
2022-05-09 05:00:00,2461.818061072409,6.154996789567463e-13,2.443414603856195e-16
